

wavelength(nm), Y
1339.19, 0.714834
1339.17, 0.716038
1339.15, 0.717238
1339.13, 0.718434
1339.11, 0.719625
1339.08, 0.720812
1339.06, 0.721994
1339.04, 0.723171
1339.02, 0.724343
1339, 0.72551
1338.98, 0.726672
1338.95, 0.727829
1338.93, 0.72898
1338.91, 0.730126
1338.89, 0.731267
1338.87, 0.732403
1338.85, 0.733533
1338.82, 0.734659
1338.8, 0.735779
1338.78, 0.736894
1338.76, 0.738005
1338.74, 0.739111
1338.71, 0.740213
1338.69, 0.741301
1338.67, 0.742369
1338.65, 0.743434
1338.63, 0.744494
1338.61, 0.745551
1338.58, 0.746605
1338.56, 0.747655
1338.54, 0.748702
1338.52, 0.749747
1338.5, 0.750788
1338.48, 0.751827
1338.45, 0.752863
1338.43, 0.753896
1338.41, 0.754927
1338.39, 0.755956
1338.37, 0.756982
1338.34, 0.758005
1338.32, 0.759026
1338.3, 0.760045
1338.28, 0.761061
1338.26, 0.762074
1338.24, 0.763084
1338.21, 0.764091
1338.19, 0.765095
1338.17, 0.766096
1338.15, 0.767093
1338.13, 0.768087
1338.11, 0.769077
1338.08, 0.770063
1338.06, 0.771044
1338.04, 0.772022
1338.02, 0.772994
1338, 0.773962
1337.98, 0.774925
1337.95, 0.775883
1337.93, 0.776836
1337.91, 0.777783
1337.89, 0.778725
1337.87, 0.779662
1337.84, 0.780593
1337.82, 0.781518
1337.8, 0.782438
1337.78, 0.783352
1337.76, 0.784261
1337.74, 0.785163
1337.71, 0.786061
1337.69, 0.786952
1337.67, 0.787838
1337.65, 0.788719
1337.63, 0.789594
1337.61, 0.790464
1337.58, 0.791329
1337.56, 0.792189
1337.54, 0.793044
1337.52, 0.793894
1337.5, 0.794739
1337.48, 0.795579
1337.45, 0.796415
1337.43, 0.797246
1337.41, 0.798073
1337.39, 0.798896
1337.37, 0.799714
1337.35, 0.800528
1337.32, 0.801337
1337.3, 0.802142
1337.28, 0.802944
1337.26, 0.80374
1337.24, 0.804533
1337.21, 0.805322
1337.19, 0.806106
1337.17, 0.806886
1337.15, 0.807662
1337.13, 0.808434
1337.11, 0.809201
1337.08, 0.809964
1337.06, 0.810723
1337.04, 0.811478
1337.02, 0.812228
1337, 0.812974
1336.98, 0.813715
1336.95, 0.814453
1336.93, 0.815185
1336.91, 0.815914
1336.89, 0.816638
1336.87, 0.817358
1336.85, 0.818074
1336.82, 0.818786
1336.8, 0.819493
1336.78, 0.820196
1336.76, 0.820896
1336.74, 0.821591
1336.72, 0.822282
1336.69, 0.82297
1336.67, 0.823654
1336.65, 0.824334
1336.63, 0.82501
1336.61, 0.825682
1336.59, 0.826352
1336.56, 0.827017
1336.54, 0.827679
1336.52, 0.828338
1336.5, 0.828993
1336.48, 0.829644
1336.46, 0.830292
1336.43, 0.830937
1336.41, 0.831578
1336.39, 0.832216
1336.37, 0.83285
1336.35, 0.833481
1336.33, 0.834108
1336.3, 0.834731
1336.28, 0.83535
1336.26, 0.835966
1336.24, 0.836578
1336.22, 0.837186
1336.2, 0.83779
1336.17, 0.83839
1336.15, 0.838986
1336.13, 0.839577
1336.11, 0.840165
1336.09, 0.840748
1336.07, 0.841327
1336.04, 0.841902
1336.02, 0.842472
1336, 0.843038
1335.98, 0.843599
1335.96, 0.844157
1335.94, 0.84471
1335.91, 0.845259
1335.89, 0.845803
1335.87, 0.846344
1335.85, 0.84688
1335.83, 0.847412
1335.81, 0.84794
1335.78, 0.848464
1335.76, 0.848985
1335.74, 0.849502
1335.72, 0.850015
1335.7, 0.850524
1335.68, 0.85103
1335.65, 0.851532
1335.63, 0.852031
1335.61, 0.852527
1335.59, 0.853019
1335.57, 0.853508
1335.55, 0.853994
1335.52, 0.854477
1335.5, 0.854956
1335.48, 0.855432
1335.46, 0.855906
1335.44, 0.856376
1335.42, 0.856842
1335.39, 0.857306
1335.37, 0.857766
1335.35, 0.858223
1335.33, 0.858676
1335.31, 0.859126
1335.29, 0.859573
1335.26, 0.860016
1335.24, 0.860455
1335.22, 0.860891
1335.2, 0.861323
1335.18, 0.861751
1335.16, 0.862176
1335.13, 0.862596
1335.11, 0.863013
1335.09, 0.863426
1335.07, 0.863835
1335.05, 0.86424
1335.03, 0.864641
1335, 0.865039
1334.98, 0.865432
1334.96, 0.865822
1334.94, 0.866209
1334.92, 0.866591
1334.9, 0.86697
1334.87, 0.867346
1334.85, 0.867718
1334.83, 0.868088
1334.81, 0.868454
1334.79, 0.868817
1334.77, 0.869177
1334.74, 0.869534
1334.72, 0.869888
1334.7, 0.87024
1334.68, 0.87059
